Fecha_Scraping	Posting_ID	Sito	Operación	Precio	Expensas	Calle	Altura	Piso	Barrio	Detalles	Descripción	Link	Amenities	Losa_Central	Aire_Acond	Apto_Credito	Cochera	Seguridad	Luminoso	Balcon_Aterrazado
2026-04-12	8454439	argenprop	alquiler_temporal	USD 1.100	$350.000	Federico Lacroze	1800		Las Cañitas	100 m² cubie. 3 dorm. 50 años	Hermoso 4 amb. Capacidad 6 personas. Aire acond. Lavarropas, a mts de av. Luis m campos. Cerca del estac. De tren y buses. Paquete u$s 900 luz y gas aparte. Se ingresa con 3 meses aprox. Un mes de alq. Un mes de deposito y uno de comision. Moviles: (wssp) email: facebook: https: / pone like (me gusta) y podras recibir todas las opciones nuevas que cargamos diariamente. Pagina web: vender mejor: psicologia cognitiva y neurociencias al servicio de los bienes raices. . Alquileres temporarios - convencionales y venta hacemos coincidir la busqueda e interses del inquilino con la busqueda del propietario. Sr propietario / sra propietaria si quiere ver su depártamento publicado en esta pagina sin ningun costo, ademas de todos los motores de busqueda existentes en argentina. Envíenos las fotos y el detalle de su departamento por whatsapp o por email y nosotros le enviaremos el link para que pueda hacer el seguimiento. Somos un excelente filtro, para que tanto el interesado que esta haciendo la busqueda como el propietario, tengan un contrato de alquiler seguro y conveniente. Otros servicios: amueblado	https://www.argenprop.com/departamento-en-alquiler-temporal-en-las-canitas-4-ambientes--8454439	0	0	0	0	0	0	0	0
2026-04-12	18435105	argenprop	alquiler_temporal	USD 700	$170.000	Av Alvarez Thomas	200		Palermo	32 m² cubie. 1 dorm. 8 años	Excelente departamento de un ambiente y medio, totalmente amoblado para 2 personas estudiantes extranjeros o de la capital edificio de diseño, muy amplio y luminoso, pileta etc. Se ingresa con 3 meses aprox. Un mes de alq. Un mes de deposito y uno de comision. Moviles: (wssp) email: facebook: https: / pone like (me gusta) y podras recibir todas las opciones nuevas que cargamos diariamente. Pagina web: vender mejor: psicologia cognitiva y neurociencias al servicio de los bienes raices. . Alquileres temporarios - convencionales y venta hacemos coincidir la busqueda e interses del inquilino con la busqueda del propietario. Sr propietario / sra propietaria si quiere ver su depártamento publicado en esta pagina sin ningun costo, ademas de todos los motores de busqueda existentes en argentina. Envíenos las fotos y el detalle de su departamento por whatsapp o por email y nosotros le enviaremos el link para que pueda hacer el seguimiento. Somos un excelente filtro, para que tanto el interesado que esta haciendo la busqueda como el propietario, tengan un contrato de alquiler seguro y conveniente. Otros servicios: amueblado, sum	https://www.argenprop.com/departamento-en-alquiler-temporal-en-palermo-2-ambientes--18435105	2	0	0	0	0	0	1	0
2026-04-12	18434962	argenprop	alquiler_temporal	USD 850	$280.000	Gral O Higgins	4000		Nuñez	90 m² cubie. 3 dorm. 4 ambientes	4amb. Fte c/balcón. Capacidad 5 pax. Ubicado en ohiggings al 4000.- A tres cuadras de av. Cabilbo y av. Del libertador. Se ingresa con 3 meses aprox. Un mes de alq. Un mes de deposito y uno de comision. Moviles: (wssp) email: oficina en barrio norte: (5 facebook: https: / pone like (me gusta) y podras recibir todas las opciones nuevas que cargamos diariamente. Pagina web: vender mejor: psicologia cognitiva y neurociencias al servicio de los bienes raices. . Alquileres temporarios - convencionales y venta hacemos coincidir la busqueda e interses del inquilino con la busqueda del propietario. Sr propietario / sra propietaria si quiere ver su depártamento publicado en esta pagina sin ningun costo, ademas de todos los motores de busqueda existentes en argentina. Envíenos las fotos y el detalle de su departamento por whatsapp o por email y nosotros le enviaremos el link para que pueda hacer el seguimiento. Somos un excelente filtro, para que tanto el interesado que esta haciendo la busqueda como el propietario, tengan un contrato de alquiler seguro y conveniente. Detalle del valor: paquete todo incluido, expensas abl agua, cablevisión e internet. Luz y gas pagan lo que consumen. Información adicional: tipo de balcón: corrido tipo de piso: parquet monto de las expensas: 4000 tipo de expensas: no incluidas	https://www.argenprop.com/departamento-en-alquiler-temporal-en-nunez-4-ambientes--18434962	1	0	0	0	0	0	0	0
2026-04-12	18435020	argenprop	alquiler_temporal	USD 420	$120.000	Av Paseo Colon	1100		San Telmo	32 m² cubie. 5 años 1 baño	Excelente ambiente ubicado en el 6 piso a una cuadra de plaza dorrego y dos cuadras de puerto madero, departamento vidriado de piso a techo, muy luminoso. Tiene baño completo, aire acondicionado frio calor, cocina completa con anafe. Piso alfombrado. Amoblado se ingresa con 3 meses aprox. Un mes de alq. Un mes de deposito y uno de comision. Moviles: (wssp) email: facebook: https: / pone like (me gusta) y podras recibir todas las opciones nuevas que cargamos diariamente. Pagina web: vender mejor: psicologia cognitiva y neurociencias al servicio de los bienes raices. . Alquileres temporarios - convencionales y venta hacemos coincidir la busqueda e interses del inquilino con la busqueda del propietario. Sr propietario / sra propietaria si quiere ver su depártamento publicado en esta pagina sin ningun costo, ademas de todos los motores de busqueda existentes en argentina. Envíenos las fotos y el detalle de su departamento por whatsapp o por email y nosotros le enviaremos el link para que pueda hacer el seguimiento. Somos un excelente filtro, para que tanto el interesado que esta haciendo la busqueda como el propietario, tengan un contrato de alquiler seguro y conveniente.	https://www.argenprop.com/departamento-en-alquiler-temporal-en-san-telmo-1-ambiente--18435020	0	0	1	0	0	0	1	0
2026-04-12	18434877	argenprop	alquiler_temporal	USD 700	$270.000	Av Estado De Israel	4800		Villa Crespo	2 dorm. 1 baño 3 ambientes	Amplio departamento amoblado y equipado a full aire acondicionado microonda cocina amplia -comedor tv plasma heladera grande con frezzer amplios placares con todos los servicios incluidos menos internet. Valor $32.500. Deposito de 32.500. Cercano a la estación del subte de la linea b angel gallardo. Todos los medios de transporte cerca. Ideal para profesionales o estudiantes. Otros servicios: amueblado	https://www.argenprop.com/departamento-en-alquiler-temporal-en-villa-crespo-3-ambientes--18434877	0	0	1	0	0	0	0	0
2026-04-12	18435658	argenprop	alquiler_temporal	USD 750	$250.000	Av Del Libertador	5700		Belgrano	45 m² cubie. 1 dorm. 35 años	Av. Del libertador 5700 45mt2 fte c/balcon. Muy luminoso.Seguridad las 24 hs. Piscina climatizada invierno y verano. Aire acond. Frio/calor, laundry, gym. Se ingresa con 3 meses aprox. Un mes de alq. Un mes de deposito y uno de comision. Moviles: (wssp) email: ofic bnorte: (5 facebook: https: / pone like (me gusta) y podras recibir todas las opciones nuevas que cargamos diariamente. Pagina web: vender mejor: psicologia cognitiva y neurociencias al servicio de los bienes raices. . Alquileres temporarios - convencionales y venta hacemos coincidir la busqueda e interses del inquilino con la busqueda del propietario. Sr propietario / sra propietaria si quiere ver su depártamento publicado en esta pagina sin ningun costo, ademas de todos los motores de busqueda existentes en argentina. Envíenos las fotos y el detalle de su departamento por whatsapp o por email y nosotros le enviaremos el link para que pueda hacer el seguimiento. Somos un excelente filtro, para que tanto el interesado que esta haciendo la busqueda como el propietario, tengan un contrato de alquiler seguro y conveniente. Detalle del valor: paquete todo incluido, expensas abl agua, cablevisión e internet. Luz y gas pagan lo que consumen. Información adicional: apto profesional tipo de balcón: terraza monto de las expensas: 7000 tipo de expensas: no incluidas apto profesional aire acondicionado individual otros servicios: aire acondicionado	https://www.argenprop.com/departamento-en-alquiler-temporal-en-belgrano-2-ambientes--18435658	4	0	1	0	0	0	1	0
2026-04-12	18435238	argenprop	alquiler_temporal	USD 650	$140.000	Thames	500		Villa Crespo	40 m² cubie. 1 baño Monoam.	Amb de 44mts c/balcon terraza al frente. Muy luminoso. Totalmente equipado y amueblado, el edificio cuenta con sala de reuniones, piscina, sauna y parrilla, laundry, a mts de av. Corrientes (subte b estac. Malabia) alq. $ 550.000 + exp y serv. Se ingresa con 3 meses aprox. Un mes de alq. Un mes de deposito y uno de comisión. Moviles: (wssp) email: facebook: https: / pone like (me gusta) y podras recibir todas las opciones nuevas que cargamos diariamente. Pagina web: vender mejor: psicologia cognitiva y neurociencias al servicio de los bienes raices. . Alquileres temporarios - convencionales y venta hacemos coincidir la busqueda e interses del inquilino con la busqueda del propietario. Sr propietario / sra propietaria si quiere ver su depártamento publicado en esta pagina sin ningun costo, ademas de todos los motores de busqueda existentes en argentina. Envíenos las fotos y el detalle de su departamento por whatsapp o por email y nosotros le enviaremos el link para que pueda hacer el seguimiento. Somos un excelente filtro, para que tanto el interesado que esta haciendo la busqueda como el propietario, tengan un contrato de alquiler seguro y conveniente. Otros servicios: amueblado, balcón terraza, sum	https://www.argenprop.com/departamento-en-alquiler-temporal-en-villa-crespo-1-ambiente--18435238	5	0	0	0	0	0	1	1
2026-04-12	18434769	argenprop	alquiler_temporal	USD 650	$120.000	Gallo	1500		Barrio Norte	45 m² cubie. 1 dorm. A Estrenar	2 amb. Cerca de shoping alto palermo. Subte d estac. Aguero, una habitación con cama doble,y una sala, tv cable, internet, teléfono, aire acondicionado , calefacción. Se ingresa con 3 meses aprox. Un mes de alq. Un mes de deposito y uno de comision. Moviles: (wssp) email: oficina en barrio norte: (5 facebook: https: / pone like (me gusta) y podras recibir todas las opciones nuevas que cargamos diariamente. Pagina web: vender mejor: psicologia cognitiva y neurociencias al servicio de los bienes raices. . Alquileres temporarios - convencionales y venta hacemos coincidir la busqueda e interses del inquilino con la busqueda del propietario. Sr propietario / sra propietaria si quiere ver su depártamento publicado en esta pagina sin ningun costo, ademas de todos los motores de busqueda existentes en argentina. Envíenos las fotos y el detalle de su departamento por whatsapp o por email y nosotros le enviaremos el link para que pueda hacer el seguimiento. Somos un excelente filtro, para que tanto el interesado que esta haciendo la busqueda como el propietario, tengan un contrato de alquiler seguro y conveniente. Detalle del valor: paquete todo incluido, expensas abl agua, cablevisión e internet. Luz y gas pagan lo que consumen. Información adicional: monto de las expensas: 3800 tipo de expensas: no incluidas características y servicios del edificio: abl electricidad gas natural internet teléfono videocable	https://www.argenprop.com/departamento-en-alquiler-temporal-en-barrio-norte-2-ambientes--18434769	1	0	1	0	0	0	0	0
2026-04-12	18434995	argenprop	alquiler_temporal	USD 400	$98.000	Peru	800		San Telmo	40 m² cubie. 1 dorm. 40 años	Hermoso departamento, muy luminoso, ubicado en el corazón de san telmo, carlos calvo y perú, a 2 cuadras de la plaza dorrego. El mismo cuenta con un dormitorio con colchones somiers para 2 personas (que se transforma en matrimonial), con 2 cajoneras, perchero, 2 placards, baño completo con bañera. La cocina esta equipada con heladera con freezer, microondas, tostadora, cafetera, pava eléctrica y vajilla completa. Living comedor con mesa y 4 sillas, vajillera con alzada, sofa cama, y se completa con ropa de cama. Acondicionador de aire frio/calor, 2 ventiladores de techo, tv 20, lcd 32 se ingresa con 3 meses aprox. Un mes de alq. Un mes de deposito y uno de comision. Moviles: (wssp) email: facebook: https: / pone like (me gusta) y podras recibir todas las opciones nuevas que cargamos diariamente. Pagina web: vender mejor: psicologia cognitiva y neurociencias al servicio de los bienes raices. . Alquileres temporarios - convencionales y venta hacemos coincidir la busqueda e interses del inquilino con la busqueda del propietario. Sr propietario / sra propietaria si quiere ver su depártamento publicado en esta pagina sin ningun costo, ademas de todos los motores de busqueda existentes en argentina. Envíenos las fotos y el detalle de su departamento por whatsapp o por email y nosotros le enviaremos el link para que pueda hacer el seguimiento. Somos un excelente filtro, para que tanto el interesado que esta haciendo la busqueda como el propietario, tengan un contrato de alquiler seguro y conveniente. L otros servicios: amueblado	https://www.argenprop.com/departamento-en-alquiler-temporal-en-san-telmo-2-ambientes--18434995	0	0	0	0	0	0	1	0
2026-04-12	18434779	argenprop	alquiler_temporal	USD 600	$74.000	Lavalle	1500		San Cristobal	55 m² cubie. 2 dorm. A Estrenar	Se trata de un departamento de 3 ambientes, con cocina independiente baño completo. Excelente ubicación, a dos cuadras de la linea b de subte que tiene combinación con el resto de las lineas, a dos cuadras de av. Corrientes y callao. Incluye gastos, menos luz y gas que corren por cuenta del inquilino. Consulte para mas detalle. En departamento es muy calido. Zona segura. Edificio tranquilo esta totalmente amoblado. Y equipado. Con todo. Aire acondicionado loza radiante. Horno cocina heladera con freezer. Microondas tv. Cable y wifi. Información adicional: tipo de vista: vista ciudad características y servicios del edificio: tipo de vista: vista ciudad otros servicios: amueblado	https://www.argenprop.com/departamento-en-alquiler-temporal-en-san-cristobal-3-ambientes--18434779	0	0	1	0	0	0	0	0
