Precio	Expensas	Calle	Altura	Piso	Detalles	Descripción	Link	Amenities	Losa_Central	Aire_Acond	Apto_Credito	Cochera	Seguridad	Luminoso	Balcon_Aterrazado
USD 570.000	+ $1.000.000	Castex	3300	0	140 m² cubie. 3 dorm. 40 años	Piso alto con vista abierta en torre Arq Clorindo Testa PALERMO CHICO espectacular piso alto con vista abierta en edificio icónico del Arq. Clorindo Testa. VER PLANOS: PLANTA ACTUAL . LA PLANTA FUE MODIFICADA Y SE LE PUEDEN REALIZAR BASTANTES CAMBIOS palier privado living comedor con vista al polo balcón terraza con vista al rio amplia cocina, lavadero separado 3 dormitorios (hoy dos de ellos unidos en suite y un tercero integrado al living como estudio) segundo baño completo. excelente dependencia de servicio con baño con ducha (puede ser otro cuarto) agua caliente central calefacción central por losa radiante amplia cochera fija cubierta. baulera encargado y seguridad 24hs cámaras de seguridad ID@1144 las medidas son aproximadas las expensas pueden sufrir variaciones la Empresa no se hace responsable de estos cambios	https://www.argenprop.com/departamento-en-venta-en-palermo-chico-4-ambientes--19134132	0	1	0	0	1	1	1	1
USD 98.000	+ $150.000	GURRUCHAGA	2100	5	31 m² cubie. 15 años 1 baño	"Departamento - Venta - Argentina, Capital Federal - GURRUCHAGA 2156 VENTA - DEPARTAMENTO 1 AMBIENTE AL FRENTE EN PALERMO Excelente departamento de 1 ambiente al frente, ubicado en Gurruchaga 2156, Palermo - Capital Federal, en una de las zonas más buscadas y mejor conectadas del barrio. La unidad se encuentra en 5º piso al frente, lo que le brinda muy buena luminosidad y ventilación. Características: Ambiente amplio y funcional Cocina integrada Baño completo Conexión para lavarropas Losa radiante individual Edificio de aproximadamente 15 años de antigüedad Muy buena distribución de los espacios Ubicado en la mejor zona de Palermo, rodeado de bares, restaurantes, comercios y con excelente acceso a medios de transporte. Ideal para vivienda, inversión o alquiler temporario. Gurruchaga 2156 - Palermo, Capital Federal LEPORE PROPIEDADES LEPORE Propiedades S.A. CUIT : -9 C.U.C.I.C.B.A. Matrícula Nº 1139 (Sucursales Caballito - Palermo - Centro) NOTA: Los materiales y especificaciones del plano están sujetos a modificaciones arquitectónicas y otras a la sola discreción del desarrollador, constructor o arquitecto, o que así se requieran por ley. Los planos de planta pueden no estar a escala. Cualquier mueble, electrodoméstico o artículo de decorador representado aquí se muestra únicamente con fines artísticos e ilustrativos y no está incluido en la compra y venta de la residencia. Las dimensiones indicadas se miden a los límites exteriores de la pared exterior y la línea central de las paredes interiores y, de hecho, varían de las dimensiones que se determinarían mediante el uso de la descripción y definición de la ""unidad"" que se establece en la declaración (que generalmente solo incluye el espacio aéreo interno entre las paredes perimetrales y excluye los componentes estructurales interiores). Además, las mediciones de habitaciones establecidas en cualquier plano de planta se toman generalmente en los mayores puntos de cada habitación determinada (como si la habitación fuera un rectángulo perfecto), sin tener en cuenta las salidas del corte. En consecuencia, el área de la habitación real será típicamente menor que el producto obtenido multiplicando la longitud por la anchura declarados. Todas las dimensiones son aproximadas y todos los planos y planes de desarrollo están sujetos a cambios. Representaciones orales no pueden considerarse como correctas declaraciones del desarrollador. Lepore Propiedades S. A. es una persona jurídica constituida bajo la leyes de la República Argentina y ejerce el corretaje en los términos del artículo 1345 y concordantes del Código Civil y Comercial de la Nación. Todas las operaciones en las que Lepore Propiedades S. A. toma participación son supervisadas, coordinadas y formalizadas por un corredor matriculado. El trabajo de todos los dependientes de Lepore Propiedades S. A. es coordinado y supervisado por un corredor matriculado. CUCICBA matriculas número 931 y 1139."	https://www.argenprop.com/departamento-en-venta-en-palermo-1-ambiente--19192534	0	1	0	0	0	0	1	0
USD 2.500.000	+ $2.400.000	Jerónimo Salguero	2700	0	275 m² cubie. 3 dorm. 17 años	TORRE BELLINI! Piso alto de revista! Balcón con espectacular vista panorámica a la ciudad y al río! Todo a nuevo! Full amenities! 3 Coch! ÚNICO! “TORRE BELLINI” DE REVISTA! IMPECABLE PISO MUY ALTO! BALCÓN CON ESPECTACULAR VISTA PANORÁMICA A LA CIUDAD Y AL RÍO! Muy luminoso! Todo luz y sol! Excelente distribución! Todo externo! Doble circulación! TODO A NUEVO! Palier privado! Hall de entrada! Gran living y comedor! Toilette de recepción! Sala de estar o playroom con habitación de guardado! 1 Master suite con 2 vestidores! 1 Dormitorio en suite! 1 Dormitorio! Baño completo! Muchos placares! Cocina completa! Lavadero independiente! Baño de servicio! Entrada de servicio! Full Amenities: Piscina climatizada y solárium, jacuzzi y solárium en piso 37, gimnasio con vestuarios, sauna, sala de relax, SUM, parrilla, juegos para niños, espacio verde, microcine, jaulas de golf y laundry! Calefacción y aire acondicionado central con regulación individual! Aberturas de aluminio con DVH! 2 Cocheras fijas y cubiertas! 2 Bauleras! Grupo electrógeno! 3 Ascensores! Estacionamiento de cortesía! El edificio cuenta con encargado y 2 ayudantes! Vigilancia 24hs! APTO CRÉDITO! Excelente ubicación! La mejor zona de Palermo! A metros de Av. Libertador y Plaza Alemania! ÚNICO! OPORTUNIDAD! * Esta propiedad posee rampa de acceso para personas con movilidad reducida *Las descripciones, medidas, superficies y proporciones consignadas en esta ficha son aproximadas, sólo se muestran a modo orientativo. Los montos de expensas, tasas e impuestos deben ser confirmados ya que dependen de la fecha en la que se obtuvo la información. *Matrícula CUCICBA 2204	https://www.argenprop.com/departamento-en-venta-en-palermo-chico-5-ambientes--18799423	1	0	1	1	1	1	1	0
USD 155.000	+ $260.000	Bulnes	1600	0	60 m² cubie. 2 dorm. 30 años	IMPECABLE! BALCÓN CORRIDO AL FRENTE CON VISTA ABIERTA! Todo luz y sol! Baulera! Apto profesional! ÚNICO! OPORT! IMPECABLE! BALCÓN CORRIDO AL FRENTE CON VISTA ABIERTA! Muy luminoso! Todo luz y sol! Excelente distribución! Hall de entrada! Living-comedor! Baño completo! 2 Dormitorios! Amplios placares! Cocina completa! 1 Split! Pisos de madera! Puerta blindada! BAULERA! El edificio cuenta con encargado! APTO PROFESIONAL! APTO CRÉDITO! Inmejorable ubicación! Todos los medios de transporte! Posibilidad de cochera enfrente! ÚNICO! OPORTUNIDAD! *Esta propiedad posee rampa de acceso para personas con movilidad reducida. *Las descripciones, medidas, superficies y proporciones consignadas en esta ficha son aproximadas, sólo se muestran a modo orientativo. Los montos de expensas, tasas e impuestos deben ser confirmados ya que dependen de la fecha en la que se obtuvo la información. *Matrícula CUCICBA 2204	https://www.argenprop.com/departamento-en-venta-en-botanico-3-ambientes--15321644	0	0	1	1	1	1	1	0
USD 181.000	+ $335.000	Av. Gral. Indalecio Chenaut	1900	0	75 m² cubie. 1 dorm. 20 años	IMPECABLE DÚPLEX! TODO A NUEVO! Balcón con espectacular vista abierta y al río! Todo luz y sol! Piscina y solárium! ÚNICO! OPORT! IMPECABLE 2 AMBIENTES EN DÚPLEX! Balcón al frente con espectacular vista abierta y al río! Muy luminoso! Todo luz y sol! Excelente distribución! Muy amplio! TODO A NUEVO! Planta baja: Hall de entrada! Toilette de recepción! Living-comedor! Cocina integrada con barra! Conexión para lavarropas! Planta alta: Master suite con vestidor! Baño completo compartimentado! 2 Splits! Amenities: piscina y solárium! APTO PROFESIONAL! El edificio cuenta con encargado! ÚNICO! OPORTUNIDAD! *Esta propiedad cuenta con acceso para personas con movilidad reducida. *Las descripciones, medidas, superficies y proporciones consignadas en esta ficha son aproximadas, sólo se muestran a modo orientativo. Los montos de expensas, tasas e impuestos deben ser confirmados ya que dependen de la fecha en la que se obtuvo la información. *Matrícula CUCICBA 2204	https://www.argenprop.com/departamento-en-venta-en-las-canitas-2-ambientes--18137142	1	0	1	0	0	1	1	0
USD 240.000	+ $340.000	BORGES JORGE LUIS	2100	6	67 m² cubie. 2 dorm. 5 años	Departamento - Venta - Argentina, Capital Federal - BORGES JORGE LUIS 2100 Departamento en venta 3 AMBIENTES en Palermo Soho, Capital Federal 3 Ambientes 66m2. Palermo Soho C/ Balcón, 2 baños en la zona de Palermo Soho Ubiciado en Borges entre Charcas y Paraguay. 6to piso, semipiso, al noroeste, super luminoso y silencioso. SUPERFICIE CUBIERTA: 59,07M2 SUPERFICIE DESCUBIERTA::7,64 SUPERFICIE TOTAL: 66,71M2 Compuesto por un Living comedor con cocina incorporada, mesada de marmol con tiene cocina a gas, y alacenas y bajo mesadas amplios. Living con, aire acondicionado y salida al balcón que da al frente Pasillo de distribucion con baño completo y dos dormitorios. Dormitorio Principal con baño en suite completo, vestidor, aire acondicionado frio/calor. Dormitorio secundario con aire acondicionado Edificio con Laundry, Parrilla en la terraza y GYM. Calefaccion por losa radiante, agua caliente central. Edificio con 1 solo ascensor y 2 unidades por piso. Precio US$ 240.000 Expensas $320.000 (incluye AySA) TOMAS TRIPPUTI - Mat. CUCICBA N 7969 AVISO Todas las propiedades que figuran en nuestra cartera se encuentran a cargo del profesional matriculado de la oficina, la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por él Los precios de expensas e impuestos son en base a los ultimas liquidaciones y pueden variar.	https://www.argenprop.com/departamento-en-venta-en-palermo-soho-3-ambientes--19106440	1	1	1	0	0	0	1	0
USD 129.000	+ $240.000	Soler	5800	1	41 m² cubie. 1 dorm. 10 años	Depto. 2 Ambientes. Muy Luminoso y Excelente Ubicación. Unidad de 2 ambientes, muy luminoso y en una excelente ubicación. Ubicado en Soler al 5800, en pleno corazón de Palermo Hollywood, una de las zonas más buscadas de la ciudad por su propuesta gastronómica, cultural y su excelente conectividad. A pocas cuadras de Av. Santa Fe, Av. Juan B. Justo y cercano a múltiples medios de transporte, incluyendo la estación Palermo de la Línea D de subte y el Metrobus. El departamento se destaca por su gran luminosidad (orientación Noreste) y su balcón, que brinda un gran espacio exterior, ideal para disfrutar todos los días. Cuenta con cocina integrada al living comedor, generando un ambiente cómodo y funcional. Dormitorio con placard integrado y muy buena entrada de luz natural. Baño completo. Una excelente opción tanto para vivienda como para inversión, en una ubicación estratégica y con alta demanda. AVISO LEGAL: Las fotos, descripciones arquitectónicas y funcionales, medidas, superficies y proporciones consignadas en esta ficha son aproximadas, no contractuales, y se presentan únicamente a modo orientativo. Los montos de expensas, tasas e impuestos deben ser confirmados, ya que dependen de la fecha en la que se obtuvo la información y podrían contener inexactitudes o diferencias respecto de los datos que surgen de las facturas, títulos de propiedad y planos legales del inmueble. Se recomienda a los interesados realizar las verificaciones correspondientes antes de concretar cualquier operación, solicitando por sí mismos o a través de sus profesionales las copias necesarias de la documentación pertinente. Los precios están sujetos a modificaciones sin previo aviso.	https://www.argenprop.com/departamento-en-venta-en-palermo-hollywood-2-ambientes--19082959	0	0	0	0	0	0	1	0
USD 140.000	+ $150.000	LERMA	300	PB	55 m² cubie. 50 años Monoam.	"Departamento - Venta - Argentina, Capital Federal - LERMA 337 3 Ambientes Reciclado con Patio - Venta y Alquiler Lerma 337 - Planta Baja Ingresa excelente departamento de 3 ambientes, ubicado en planta baja, con patio propio. Muy funcional y luminoso, ideal tanto para vivienda permanente como para renta. Superficie: 68,5 m² La propiedad cuenta con: Living comedor cómodo Cocina equipada 2 dormitorios Baño completo Patio privado Valores Venta: USD 140.000 Alquiler Temporario (amoblado): USD 1.000 Todo incluido Alquiler Tradicional: $1.100.000 Más expensas: $150.000 Más servicios Excelente oportunidad por estado, ubicación y versatilidad (ideal vivienda o inversión). AVISO DE VENTA LEPORE Propiedades S.A. CUIT : -9 C.U.C.I.C.B.A. Matrícula Nº 931 (Sucursales Caballito - Palermo - Centro) Nota: Los materiales y especificaciones del plano están sujetos a modificaciones arquitectónicas y otras a la sola discreción del desarrollador, constructor o arquitecto, o que así se requiera por ley. Los planos de planta pueden no ser a escala. Cualquier mueble, electrodoméstico o artículo de decorado representado aquí se muestra únicamente con fines artísticos e ilustrativos y no está incluido en la compra y venta de la residencia. Las dimensiones indicadas se miden a los límites exteriores de la pared exterior y la línea central de las paredes interiores y, de hecho, varían de las dimensiones que se determinarían mediante el uso de la descripción y definición de la ?unidad? que se establece en la declaración (que generalmente sólo incluye el espacio aéreo interno entre las paredes perimetrales y excluye los componentes estructurales interiores). Además, las mediciones de habitaciones establecidas en cualquier plano de planta se toman generalmente en los mayores puntos de cada habitación determinada (como si la habitación fuera un rectángulo perfecto), sin tener en cuenta las salidas del corte. En consecuencia, el área de la habitación real será típicamente menor que el producto obtenido multiplicando la longitud por la anchura declarados. Todas las dimensiones son aproximadas y todos los planos y planes de desarrollo están sujetos a cambios. Representaciones orales no pueden considerarse como correctas declaraciones del desarrollador. Propiedad según Ley 5115 La accesibilidad para las personas con discapacidades físicas. ?accesible?. AVISO DE ALQUILER LEPORE PROPIEDADES T. / C. LEPORE Propiedades S.A. CUIT : -9 C.U.C.I.C.B.A. Matrícula Nº 931 (Sucursales Caballito - Palermo - Centro) AVISO LEGAL: Las descripciones arquitectónicas y funcionales, valores de expensas y/o gastos comunes, impuestos y servicios, fotos y medidas de este inmueble son aproximados. Los datos fueron proporcionados por el propietario y pueden no estar actualizados a la hora de la visualización de este aviso por lo cual pueden arrojar inexactitudes y discordancias con las que surgen de las facturas, títulos y planos legales del inmueble. El interesado deberá realizar las verificaciones respectivas con carácter previo a la realización de cualquier operación, requiriendo por sí o sus profesionales de confianza las copias necesarias de la documentación que corresponda. Se encuentra prohibido cobrar comisiones inmobiliarias y gastos de gestoría de informes a los inquilinos que sean personas físicas. Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato (conf. el Art.4 de la Ley 5.859 de C.A.B.A) Propiedad según Ley 5115 La accesibilidad para las personas con discapacidades físicas. ""accesible"""	https://www.argenprop.com/departamento-en-venta-en-palermo-1-ambiente--19069333	0	0	0	0	0	0	1	0
USD 98.000	+ $80.000	JULIAN ALVAREZ	1600	1	29 m² cubie. 1 dorm. 35 años	Departamento - Venta - Argentina, Capital Federal - JULIAN ALVAREZ 1668 Departamento en Venta - Julián Álvarez 1668, Piso 1 con patio, reciclado a nuevo. Ubicado en el corazón de la Ciudad de Buenos Aires, en la calle Julián Álvarez 1668, este departamento de 1 piso es una excelente oportunidad para aquellos que buscan un hogar moderno y funcional o su próxima inversión Características: Cocina a gas con 4 hornallas y horno eléctrico empotrado- extractor y calefón nuevos-conexión para lavarropas-baño completo y dormitorio con pisos plastificados. - Ubicación privilegiada: A pasos de la Avenida Santa Fe, con fácil acceso a transporte público, comercios, restaurantes y servicios. - Reciclado a nuevo: El departamento ha sido completamente renovado de piso a techo, con materiales de alta calidad y diseño moderno. - Ambientes amplios y luminosos: Disfruta de espacios abiertos y bien iluminados, ideales para vivir o trabajar. No te pierdas la oportunidad de hacer de este departamento tu nuevo hogar. ¡Contáctanos para programar una visita! / What's app . LEPORE Propiedades S.A. CUIT : -9 C.U.C.I.C.B.A. Matrícula Nº 931 (Sucursales Caballito - Palermo - Centro) Nota: Los materiales y especificaciones del plano están sujetos a modificaciones arquitectónicas y otras a la sola discreción del desarrollador, constructor o arquitecto, o que así se requiera por ley. Los planos de planta pueden no ser a escala. Cualquier mueble, electrodoméstico o artículo de decorado representado aquí se muestra únicamente con fines artísticos e ilustrativos y no está incluido en la compra y venta de la residencia. Las dimensiones indicadas se miden a los límites exteriores de la pared exterior y la línea central de las paredes interiores y, de hecho, varían de las dimensiones que se determinarían mediante el uso de la descripción y definición de la ?unidad? que se establece en la declaración (que generalmente sólo incluye el espacio aéreo interno entre las paredes perimetrales y excluye los componentes estructurales interiores). Además, las mediciones de habitaciones establecidas en cualquier plano de planta se toman generalmente en los mayores puntos de cada habitación determinada (como si la habitación fuera un rectángulo perfecto), sin tener en cuenta las salidas del corte. En consecuencia, el área de la habitación real será típicamente menor que el producto obtenido multiplicando la longitud por la anchura declarados. Todas las dimensiones son aproximadas y todos los planos y planes de desarrollo están sujetos a cambios. Representaciones orales no pueden considerarse como correctas declaraciones del desarrollador. Propiedad según Ley 5115 La accesibilidad para las personas con discapacidades físicas. ?accesible?.	https://www.argenprop.com/departamento-en-venta-en-palermo-2-ambientes--18831782	0	0	0	0	0	0	1	0
USD 98.000	+ $125.000	JOSE ANTONIO CABRERA	3600	PB	43 m² cubie. 1 dorm. 1 baño	Departamento Palermo Viejo, DOS AMBIENTES, COCINA Y COMEDOR DIARIO, PATIO, IMPECABLE, EXPENSAS Febrero $ 125.000, apto profesional por reglamento Este departamento (Apto profesional por Reglamento) en está ubicado en PLANTA BAJA al frente, Posee dos Ambientes, cocina completa con alacenas y bajo mesada y comedor diario, Patio con Lavadero con amplio espacio para lavarropas, Baño Completo, impecable. Apto profesional - Muy bajas Expensas: FEBRERO 2026 $ 125.000 Gran ubicación: en el barrio de Palermo, en una de las zonas más demandadas por su cercanía con la Universidad de Palermo, El Sanatorio Güemes, Hospital Italiano, etc. - SUPERFICIE TOTAL: 43 m2. - Superficie cubierta 37 m2. - Superficie descubierta (patio) 5,92 m2. Esta superficie del patio se puede cerrar con techo vidriado y convirtiendo toda la superficie como cubierta de 43 m2. - Estar - comedor 4,30 x 3,30 m. - Dormitorio 2,95 x 2,80 m. más placard de 2,00 x 0,60 mtrs. - hall de distribución 1,35 x 1,35 m. - Cocina 2,70 x 1,45 m. más COMEDOR DIARIO 1,60 x 1,60 m. - Baño completo 2,10 x 1,45 m. - profusión de tomas corrientes en todos los ambientes - CALEFACCIÓN POR aire acondicionado sistema Split - Agua sanitaria por calefón EDIFICIO APTO PARA PERSONAS CON CAPACIDADES DISMINUIDAS APTO PROFESIONAL POR REGLAMENTO DE CO-PROPIEDAD - EFIFICIO DE SOLO DOS PLANTAS CON TERRAZA GENERAL Y SOLARIUM MOSTRAMOS ESTE INMUEBLE EN EL DÍA TERRAZAS & BALCONES Propiedades - > Atención de Lunes a Viernes de 11 a 19 hs. > Atención Back office: Lun a Vie de 09 a 20 Hs. - Sab 10 a 20 Hs. - Agradecemos su visita a nuestro aviso. Los datos presentados en esta ficha son a solo efecto orientativo. Surgiendo las exactas del respectivo titulo y plano de esta propiedad - CUCICBA. 5209 TERRAZAS & BALCONES ES NUESTRA MARCA REGISTRADA Es el momento de elegir inmuebles con terrazas, balcones aterrazados y patios parquizados para vivir toda la energía que emanan - Mostramos nuestros inmuebles en el día - Carlos Campagnoli - Martillero Público - CUCICBA 5209 LAS FOTOS PUBLICADAS DE NUESTROS AVISOS NO ESTÁN MODIFICADAS NI ALTERADAS Y RESPONDEN AL ESTADO ACTUAL DE CADA PROPIEDAD.	https://www.argenprop.com/departamento-en-venta-en-palermo-viejo-2-ambientes--18330289	0	0	1	0	0	0	1	1
