key	calle	altura	barrio	usig_lat	usig_lon	georef_lat	georef_lon	n_ok	max_pairwise_m	consensus_lat	consensus_lon
mansilla|2936|recoleta	Mansilla	2936	Recoleta	-34.594824	-58.408418	-34.59483008304358	-58.408275328132945	2	13.1	-34.594827	-58.4083467
cespedes|2300|belgrano	Cespedes	2300	Belgrano	-34.567657	-58.447419	-34.5676997881001	-58.4475316932668	2	11.4	-34.5676784	-58.4474753
riobamba|1200|recoleta	Riobamba	1200	Recoleta	-34.59481	-58.394575	-34.5947245746362	-58.3945071145369	2	11.3	-34.5947673	-58.3945411
pereyra lucena|2500|palermo	Pereyra Lucena	2500	Palermo					0			
lola mora|400|puerto madero	Lola Mora	400	Puerto Madero					0			
jose hernandez|2700|belgrano	Jose Hernandez	2700	Belgrano	-34.567292	-58.4562	-34.5673059000239	-58.456323036098	2	11.4	-34.567299	-58.4562615
av cordoba|400|retiro	Av Córdoba	400	Retiro	-34.598583	-58.372591	-34.5985171267751	-58.3727944597836	2	20.0	-34.5985501	-58.3726927
demaria|4400|palermo	Demaria	4400	Palermo					0			
ayacucho|400|san nicolas	Ayacucho	400	San Nicolas	-34.604591	-58.395328	-34.604496911065	-58.3952885918181	2	11.0	-34.604544	-58.3953083
pacheco de melo|2900|recoleta	Pacheco De Melo	2900	Recoleta	-34.585573	-58.403491	-34.585488027308	-58.4035486573812	2	10.8	-34.5855305	-58.4035198
olleros|1700|palermo	Olleros	1700	Palermo	-34.564408	-58.437251	-34.5644983303917	-58.4374153693204	2	18.1	-34.5644532	-58.4373332
av pueyrredon|2400|recoleta	Av. Pueyrredon	2400	Recoleta	-34.586333	-58.395129	-34.5863537470541	-58.3949777884123	2	14.1	-34.5863434	-58.3950534
florida|900|retiro	Florida	900	Retiro	-34.597592	-58.375464	-34.5975000398532	-58.3754017068248	2	11.7	-34.597546	-58.3754329
azucena villaflor|500|puerto madero	Azucena Villaflor	500	Puerto Madero	-34.611493	-58.360985	-34.61157805574968	-58.36148792268667	2	47.1	-34.6115355	-58.3612365
