barrio_oficial	venta_mediana	alquiler_mediano	expensas_medianas	tarifa_mensual_mediana	precio_m2_mediano	rent_bruta_lp_pct	rent_neta_lp_pct	rent_bruta_temp_pct	rent_neta_temp_pct	años_recupero	retorno_neto_lp_mediano	retorno_neto_temp_mediano	ingreso_anual_mediano	costo_propietario_mediano	costo_expensas_pct	indice_bruto	indice_neto	modalidad_optima_bruta	modalidad_optima_neta	n_lp	n_temp
Nueva Pompeya	75000.0	479.45205479452056	68.4931506849315	925.0	1333.3333333333333	7.67	7	10.8	9	13.0	5342.465753424658	6993.410958904109	8103.0	1109.5890410958905	1	1.41	1.29	Temporario	Temporario	17	2.0
Villa Luro	119450.0	479.45205479452056	89.04109589041096	1300.0	2414.285714285714	4.82	5	9.53	9	20.7	5753.424657534247	10196.219178082192	11388.0	1191.7808219178082	1	1.98	1.8	Temporario	Temporario	157	2.0
Parque Avellaneda	78000.0	445.2054794520548	75.34246575342466	1000.0	1612.9032258064517	6.85	7	11.23	8	14.6	5342.465753424658	5883.287671232876	8760.0	2876.7123287671234	4	1.64	1.14	Temporario	Temporario	40	1.0
La Boca	73640.0	404.1095890410959	97.60273972602741	600.0	1393.0232558139535	6.59	7	7.14	6	15.2	4849.315068493151	4351.890410958904	5256.0	986.3013698630136	1	1.08	0.86	Temporario	Largo plazo	70	4.0
Monserrat	87000.0	500.0	130.13698630136986	600.0	1828.5714285714287	6.9	7	6.04	5	14.5	6000.0	4186.438356164384	5256.0	1479.4520547945206	2	0.88	0.71	Largo plazo	Largo plazo	329	123.0
Boedo	95000.0	445.2054794520548	102.73972602739725	650.0	2076.923076923077	5.62	6	5.99	5	17.8	5342.465753424658	4707.698630136986	5694.0	986.3013698630136	1	1.07	0.83	Temporario	Largo plazo	143	8.0
San Telmo	97500.0	513.6986301369863	138.35616438356163	635.068493150685	1937.5	6.32	6	5.71	5	15.8	6164.3835616438355	4516.273972602739	5563.2	1068.4931506849316	1	0.9	0.83	Largo plazo	Largo plazo	349	198.0
Flores	110000.0	479.45205479452056	102.73972602739725	719.8630136986301	1966.0919540229884	5.23	5	5.73	5	19.1	5753.424657534247	4967.7945205479455	6306.0	1232.876712328767	1	1.1	1.0	Temporario	Largo plazo	547	26.0
Chacarita	110000.0	547.945205479452	136.986301369863	850.0	2634.1463414634145	5.98	6	6.77	5	16.7	6575.342465753425	5488.767123287671	7446.0	1438.3561643835617	1	1.13	0.83	Temporario	Largo plazo	90	27.0
San Nicolas	88800.0	454.45205479452056	130.13698630136986	600.0	1739.1304347826087	6.14	6	5.92	5	16.3	5400.0	4187.506849315068	5256.0	1068.4931506849316	1	0.96	0.83	Largo plazo	Largo plazo	694	303.0
Constitucion	75000.0	445.2054794520548	102.73972602739725	547.945205479452	1391.1657559198543	7.12	7	6.4	5	14.0	5342.465753424658	3649.3150684931506	4800.0	986.3013698630136	1	0.9	0.71	Largo plazo	Largo plazo	90	7.0
Barracas	124800.0	534.2465753424658	123.28767123287672	700.0	2090.909090909091	5.14	5	4.91	4	19.5	6410.95890410959	4734.739726027397	6132.0	1602.7397260273974	1	0.96	0.8	Largo plazo	Largo plazo	187	11.0
San Cristobal	86592.0	410.958904109589	102.05479452054794	500.0	1931.578947368421	5.7	6	5.06	4	17.5	4931.506849315068	3858.7397260273974	4380.0	1397.2602739726028	2	0.89	0.67	Largo plazo	Largo plazo	253	25.0
Balvanera	90000.0	445.2054794520548	109.58904109589041	554.7945205479452	1645.1388888888887	5.94	6	5.4	4	16.8	5342.465753424658	3612.1643835616437	4860.0	1257.5342465753424	1	0.91	0.67	Largo plazo	Largo plazo	566	83.0
Almagro	124900.0	458.90410958904107	109.58904109589041	650.0	2297.2972972972975	4.41	4	4.56	4	22.7	5506.849315068493	4434.082191780822	5694.0	1150.6849315068494	1	1.03	1.0	Temporario	Largo plazo	709	211.0
Agronomia	99000.0	410.958904109589	89.04109589041096	600.0	2375.0	4.98	5	5.31	4	20.1	4931.506849315068	4105.315068493151	5256.0	1150.6849315068494	1	1.07	0.8	Temporario	Largo plazo	26	1.0
Coghlan	129999.0	547.945205479452	136.986301369863	850.0	2729.7297297297296	5.06	5	5.73	4	19.8	6575.342465753425	5337.123287671233	7446.0	1380.821917808219	1	1.13	0.8	Temporario	Largo plazo	75	15.0
Villa Pueyrredon	113450.0	479.45205479452056	95.89041095890411	710.0	2366.9028340080968	5.07	5	5.48	4	19.7	5753.424657534247	4852.479452054795	6219.6	965.7534246575342	1	1.08	0.8	Temporario	Largo plazo	140	4.0
Monte Castro	109000.0	445.2054794520548	89.04109589041096	595.0	2201.3317917094896	4.9	5	4.78	4	20.4	5342.465753424658	4410.830136986301	5212.2	801.3698630136987	1	0.98	0.8	Largo plazo	Largo plazo	92	6.0
Villa Santa Rita	109000.0	465.75342465753425	100.0	489.7260273972603	2196.0427350427353	5.13	5	3.94	4	19.5	5589.041095890411	4290.0	4290.0	0.0	0	0.77	0.8	Largo plazo	Largo plazo	49	1.0
