variable,tipo_modelo,coeficiente,importancia_permutacion,signo
score_antiguedad,ridge_precio_m2,-0.7571,7.8624,negativo
antiguedad_años,ridge_precio_m2,0.5491,4.1334,positivo
nivel_socioeconomico,ridge_precio_m2,0.05,0.0367,positivo
cluster_3.0,ridge_precio_m2,-0.0225,0.0076,negativo
indice_lujo,ridge_precio_m2,0.0203,0.0058,positivo
cluster_1.0,ridge_precio_m2,-0.0186,0.0043,negativo
dist_tren_km,ridge_precio_m2,-0.0072,0.001,negativo
dist_subte_km,ridge_precio_m2,-0.0057,0.0003,negativo
cluster_2.0,ridge_precio_m2,-0.0054,0.0005,negativo
dist_verde_km,ridge_precio_m2,0.005,0.0003,positivo
m2_total,ridge_precio_m2,0.0023,0.0001,positivo
indice_confort,ridge_precio_m2,-0.0006,0.0,negativo
