punto_id,tipo,nombre,lat,lon,color_default
1,espacio_verde,Escuela Scalabrini Ortiz,-34.57933403590375,-58.44533872781402,#2ca02c
2,espacio_verde,Polideportivo Colegiales,-34.58031109103991,-58.44471904622867,#2ca02c
3,espacio_verde,Espacio verde 3,-34.54701920859748,-58.438000790001155,#2ca02c
4,espacio_verde,Plaza Rafael Hernández,-34.562312075732116,-58.45518807084863,#2ca02c
5,espacio_verde,Plaza Pques. Nacionales Argentinos,-34.55246592517004,-58.43699187282284,#2ca02c
6,espacio_verde,Espacio verde 6,-34.57531004831621,-58.41537071644673,#2ca02c
7,espacio_verde,Espacio verde 7,-34.575370971471266,-58.41541350849808,#2ca02c
8,espacio_verde,República de Montenegro,-34.574531351139534,-58.414682302719704,#2ca02c
9,espacio_verde,Ing. G. Ave Lallemant,-34.5494076230915,-58.47364409502001,#2ca02c
10,espacio_verde,Espacio verde 10,-34.554984631800814,-58.49426692273776,#2ca02c
11,espacio_verde,Espacio verde 11,-34.55531686040779,-58.4823896504967,#2ca02c
12,espacio_verde,Paseo de la República Popular de China,-34.55379430407778,-58.49207855071288,#2ca02c
13,espacio_verde,Espacio verde 13,-34.65455478756577,-58.47677219573543,#2ca02c
14,espacio_verde,Irma Carrica,-34.6546791707698,-58.47583930172339,#2ca02c
15,espacio_verde,Plaza Barrio Marcelo T de Alvear,-34.643435126785334,-58.48385408780086,#2ca02c
16,espacio_verde,Eloy Alfaro,-34.56286687907241,-58.43992649063292,#2ca02c
17,espacio_verde,Tric y Trake,-34.58603899717232,-58.47014188385948,#2ca02c
18,espacio_verde,Jorge N. Williams,-34.60086023140101,-58.49408166785645,#2ca02c
19,espacio_verde,Espacio verde 19,-34.642810060078226,-58.461070065297726,#2ca02c
20,espacio_verde,Plaza Tupac Amarú,-34.64237282149752,-58.46192421135671,#2ca02c
21,espacio_verde,Espacio verde 21,-34.670191869377206,-58.444083412526616,#2ca02c
22,espacio_verde,Espacio verde 22,-34.66762824705508,-58.44172506805756,#2ca02c
23,espacio_verde,Martín Boneo y Villalonga,-34.655370558416024,-58.47217420822423,#2ca02c
24,espacio_verde,Espacio verde 24,-34.65576273572483,-58.46567166327019,#2ca02c
25,espacio_verde,Espacio verde 25,-34.651077595724956,-58.466232727207725,#2ca02c
26,espacio_verde,Espacio verde 26,-34.65045249740074,-58.46544592062804,#2ca02c
27,espacio_verde,Espacio verde 27,-34.67999451208612,-58.45032559549084,#2ca02c
28,espacio_verde,Plaza Irlanda,-34.61460591189772,-58.45781588097853,#2ca02c
29,espacio_verde,Espacio verde 29,-34.680183314254066,-58.466113727862115,#2ca02c
30,espacio_verde,Espacio verde 30,-34.6738717560631,-58.45819844129036,#2ca02c
31,espacio_verde,Espacio verde 31,-34.675451417676236,-58.45623970760345,#2ca02c
32,espacio_verde,Espacio verde 32,-34.67605108247519,-58.45538440989812,#2ca02c
33,espacio_verde,R. Raffo Bonta,-34.6025252049017,-58.48292982841293,#2ca02c
34,espacio_verde,Paturuzú,-34.58550870085825,-58.46983456574535,#2ca02c
35,espacio_verde,de la Historieta,-34.58347187482364,-58.46956277806624,#2ca02c
36,espacio_verde,Espacio verde 36,-34.67879137804977,-58.45188489736973,#2ca02c
37,espacio_verde,Espacio verde 37,-34.679003075895906,-58.451728589657634,#2ca02c
38,espacio_verde,Paseo de los Vecinos destacados de Villa Lugano Comuna 8 - Bautista Mazzini,-34.67476052607984,-58.472615902888464,#2ca02c
39,espacio_verde,Espacio verde 39,-34.67235663860369,-58.47616351859127,#2ca02c
40,espacio_verde,Espacio verde 40,-34.67207901439701,-58.46049349978729,#2ca02c
41,espacio_verde,Espacio verde 41,-34.66967699668512,-58.46355479388552,#2ca02c
42,espacio_verde,Estado de Kuwait,-34.654951418910635,-58.4742050790406,#2ca02c
43,espacio_verde,Espacio verde 43,-34.6524298505051,-58.48798662458276,#2ca02c
44,espacio_verde,Espacio verde 44,-34.654587674146235,-58.48039966633633,#2ca02c
45,espacio_verde,Espacio verde 45,-34.63317136096497,-58.52053877676735,#2ca02c
46,espacio_verde,Espacio verde 46,-34.63324512460126,-58.51905414298115,#2ca02c
47,espacio_verde,Espacio verde 47,-34.633114351329894,-58.51797267514043,#2ca02c
48,espacio_verde,Espacio verde 48,-34.69760529562243,-58.46957702840466,#2ca02c
49,espacio_verde,Espacio verde 49,-34.697861403875606,-58.46983305807321,#2ca02c
50,espacio_verde,Espacio verde 50,-34.696809132919455,-58.468640171451476,#2ca02c
51,espacio_verde,Espacio verde 51,-34.69676779064122,-58.468684329258004,#2ca02c
52,espacio_verde,Espacio verde 52,-34.69485953351847,-58.466592402412125,#2ca02c
53,espacio_verde,Espacio verde 53,-34.69487262781182,-58.46652096031823,#2ca02c
54,espacio_verde,Espacio verde 54,-34.692167506251636,-58.46359807234527,#2ca02c
55,espacio_verde,Espacio verde 55,-34.6921352112069,-58.46364732665679,#2ca02c
56,espacio_verde,Espacio verde 56,-34.69095087513144,-58.462329011061776,#2ca02c
57,espacio_verde,Espacio verde 57,-34.69140346668491,-58.46275377845361,#2ca02c
58,espacio_verde,Espacio verde 58,-34.68652512035487,-58.45749853218578,#2ca02c
59,espacio_verde,Espacio verde 59,-34.68015413310633,-58.4673651838817,#2ca02c
60,espacio_verde,Plaza Alemania,-34.576764402144605,-58.408266406329105,#2ca02c
61,espacio_verde,Espacio verde 61,-34.680114707611324,-58.46717799830719,#2ca02c
62,espacio_verde,Espacio verde 62,-34.680710838794354,-58.46745414668527,#2ca02c
63,espacio_verde,Espacio verde 63,-34.68031204062248,-58.46697800251896,#2ca02c
64,espacio_verde,Espacio verde 64,-34.68850162456292,-58.46385167928663,#2ca02c
65,espacio_verde,Espacio verde 65,-34.68805993372552,-58.46441538787352,#2ca02c
66,espacio_verde,Espacio verde 66,-34.685699112794495,-58.46744689864607,#2ca02c
67,espacio_verde,Espacio verde 67,-34.68463925077058,-58.4688062791363,#2ca02c
68,espacio_verde,Espacio verde 68,-34.68381940880507,-58.4698575637938,#2ca02c
69,espacio_verde,Espacio verde 69,-34.68354552693461,-58.47020923980118,#2ca02c
70,espacio_verde,Plaza Brig. Gral. J. M. Zapiola,-34.57360610943311,-58.475170135820555,#2ca02c
71,espacio_verde,Espacio verde 71,-34.68656357779183,-58.46633515246741,#2ca02c
72,espacio_verde,Paseo de los Vecinos destacados de Villa Lugano Comuna 8 - Amalia Celia Figueredo,-34.67826242668398,-58.476426194938426,#2ca02c
73,espacio_verde,Paseo de los Vecinos destacados de Villa Lugano Comuna 8 - Padre Mario Fabián Alsina,-34.67760232943235,-58.47566975422292,#2ca02c
74,espacio_verde,Paseo de los Vecinos destacados de Villa Lugano Comuna 8 - Gilda,-34.67691565867652,-58.47492389299787,#2ca02c
75,espacio_verde,Paseo de los Vecinos destacados de Villa Lugano Comuna 8 - Dr. José A. Almada,-34.67585088733274,-58.47377191672774,#2ca02c
76,espacio_verde,Espacio verde 76,-34.67330981267857,-58.4765962587017,#2ca02c
77,espacio_verde,Espacio verde 77,-34.67291748251379,-58.47771820877811,#2ca02c
78,espacio_verde,Espacio verde 78,-34.6730601449084,-58.477677044382766,#2ca02c
79,espacio_verde,Espacio Recreativo Leito,-34.66808251518294,-58.49685405629315,#2ca02c
80,espacio_verde,Eleodoro Marenco,-34.668186356514994,-58.49743523960524,#2ca02c
81,espacio_verde,Irene Bernasconi,-34.664565692379945,-58.438039055284825,#2ca02c
82,espacio_verde,Mayor Bernardo Alberte,-34.663510662170346,-58.435857758937225,#2ca02c
83,espacio_verde,Atahualpa Yupanqui,-34.66234878642493,-58.43338349379727,#2ca02c
84,espacio_verde,Espacio verde 84,-34.66130225069698,-58.4307700107664,#2ca02c
85,espacio_verde,Espacio verde 85,-34.66131380368702,-58.43088165348104,#2ca02c
86,espacio_verde,Espacio verde 86,-34.660959118478424,-58.43114754703478,#2ca02c
87,espacio_verde,Espacio verde 87,-34.661139785238404,-58.4311358448737,#2ca02c
88,espacio_verde,Espacio verde 88,-34.66090088804645,-58.43110040730398,#2ca02c
89,espacio_verde,Armando Tejada Gómez,-34.66090390657923,-58.43056655931849,#2ca02c
90,espacio_verde,Espacio verde 90,-34.65823497699661,-58.43233244376351,#2ca02c
91,espacio_verde,Espacio verde 91,-34.65829247279748,-58.43239467812394,#2ca02c
92,espacio_verde,Espacio verde 92,-34.65902325308288,-58.42148744201369,#2ca02c
93,espacio_verde,Máximo Mena,-34.657905532402935,-58.42465740634946,#2ca02c
94,espacio_verde,Islas Canarias,-34.65685494609839,-58.422439516992654,#2ca02c
95,espacio_verde,Espacio verde 95,-34.65468232597297,-58.44897124426483,#2ca02c
96,espacio_verde,Ing. Agr. Benito J. Carrasco,-34.565993714474345,-58.399723608781215,#2ca02c
97,espacio_verde,Espacio verde 97,-34.59506020689596,-58.465172063130716,#2ca02c
98,espacio_verde,Espacio verde 98,-34.656783469413966,-58.4515632069322,#2ca02c
99,espacio_verde,Espacio verde 99,-34.651201339567415,-58.45398439413391,#2ca02c
100,espacio_verde,Espacio verde 100,-34.651056842596134,-58.454550170027886,#2ca02c
101,espacio_verde,Cesáreo Onzari,-34.65087905875442,-58.46106158425157,#2ca02c
102,espacio_verde,Espacio verde 102,-34.6540359948902,-58.456990441528774,#2ca02c
103,espacio_verde,Espacio verde 103,-34.65312834384504,-58.45815922504866,#2ca02c
104,espacio_verde,Espacio verde 104,-34.65889328553503,-58.448901230773714,#2ca02c
105,espacio_verde,Espacio verde 105,-34.656069372477084,-58.45068014636229,#2ca02c
106,espacio_verde,Espacio verde 106,-34.65042541736298,-58.45324917012013,#2ca02c
107,espacio_verde,Parque Brig. Gral. Cornelio Saavedra,-34.5506333658283,-58.480064742128675,#2ca02c
108,espacio_verde,Espacio verde 108,-34.65725327951665,-58.44570731363897,#2ca02c
109,espacio_verde,Espacio verde 109,-34.65301247971788,-58.44165593358821,#2ca02c
110,espacio_verde,Espacio verde 110,-34.651573675556016,-58.45318507851284,#2ca02c
111,espacio_verde,Plaza de la Integración Latinoamericana,-34.65092882957132,-58.44327770116236,#2ca02c
112,espacio_verde,Espacio verde 112,-34.64746781909644,-58.42787763737277,#2ca02c
